species,concentration
H,0.5
#H,1E-030
H+,1.78904E-017
H2,0.25
#H2,1E-030
H2+,9.47987E-018
H3+,7.78869E-023
HE,0.1
HE+,3.6972E-018
HEH+,1.94716E-024
C,0.000000000100442
#C,1E-030
C+,0.00026
CH,1.82619E-020
CH+,6.98354E-017
#CH,1E-030
CH2,7.94398E-024
CH2+,3.42767E-015
#CH2,1E-030
N,0.000061
N+,1.07175E-020
#N,1E-030
CH3,6.94621E-029
CH3+,2.16629E-020
#CH3,1E-030
NH,1E-030
NH+,1.73683E-026
#NH,1E-030
#CH4,1E-030
CH4,1E-030
CH4+,1E-030
NH2,1E-030
NH2+,1E-030
#NH2,1E-030
O,0.00046
#O,1E-030
O+,1.02332E-019
#NH3,1E-030
CH5+,6.41805E-030
NH3,1E-030
NH3+,1E-030
OH,2.62033E-017
OH+,7.90551E-025
#OH,1E-030
#H2O,1E-030
H2O,6.90067E-027
H2O+,2.29771E-030
NH4+,1E-030
H3O+,1E-030
C2,1E-030
C2+,1.04425E-028
MG,0.00003981
MG+,0.00000000000037064
#C2,1E-030
#MG,1E-030
C2H,1E-030
C2H+,6.5352E-030
#C2H,1E-030
#C2H2,1E-030
C2H2,1E-030
C2H2+,1E-030
CN,1.20447E-029
CN+,1.37053E-024
#HCN,1E-030
#HNC,1E-030
C2H3,1E-030
HCN,1E-030
HCN+,7.26797E-025
HNC,1E-030
#C2H3,1E-030
#CO,1E-030
#N2,1E-030
CO,8.80203E-028
CO+,2.2646E-023
H2CN,1E-030
HCNH+,1.72383E-030
N2,1E-030
N2+,1E-030
SI,3.95159E-016
SI+,0.0000001
#H2CN,1E-030
#C2H4,1E-030
C2H4,1E-030
HCO,1E-030
HCO+,1.86844E-023
#HCO,1E-030
HOC+,6.64659E-029
N2H+,1E-030
SIH,8.41713E-027
SIH+,2.97599E-020
C2H5,1E-030
#C2H5,1E-030
#NO,1E-030
#H2CO,1E-030
H2CO,1E-030
H2CO+,4.20176E-030
NO,7.52903E-028
NO+,1E-030
SIH2,1E-030
SIH2+,2.36997E-021
H3CO,1E-030
H3CO+,1E-030
#H3CO,1E-030
HNO,1E-030
HNO+,1E-030
SIH3,1E-030
SIH3+,1E-030
#HNO,1E-030
CH2OH,1E-030
#CH2OH,1E-030
#O2,1E-030
#CH3OH,1E-030
#SIH4,1E-030
CH3OH,1E-030
H2NO+,1E-030
O2,1.52381E-024
O2+,1E-030
S,9.29608E-015
S+,0.00001318
SIH4,1E-030
SIH4+,1E-030
CH3OH2+,1E-030
HS,7.30101E-024
HS+,3.25266E-024
O2H,1E-030
O2H+,1E-030
SIH5+,1E-030
#O2H,1E-030
#HS,1E-030
#H2S,1E-030
H2S,1.41914E-026
H2S+,2.05572E-018
CL,1.01945E-016
CL+,0.000000316198
H3S+,1E-030
#HCL,1E-030
C3+,1E-030
HCL,6.66325E-024
HCL+,0.00000000000249795
H2CL+,1.28269E-017
C2N,1E-030
C2N+,1E-030
C3H2,1E-030
#C3H2,1E-030
C2NH+,1E-030
#CH3CCH,1E-030
CH3CCH,1E-030
SIC,1E-030
SIC+,1E-030
#SIC,1E-030
#CH3CN,1E-030
C3H5+,1E-030
CH3CN,1E-030
#CH2CO,1E-030
#CH3CNH,1E-030
CH2CO,1E-030
CH3CNH,1E-030
CH3CNH+,1E-030
OCN,1E-030
#HNCO,1E-030
HNCO,1E-030
#SIO,1E-030
#CS,1E-030
#CO2,1E-030
CO2,1E-030
CS,1E-030
CS+,8.65842E-030
SIO,1E-030
SIO+,1.46573E-023
CH3CHO,1E-030
#CH3CHO,1E-030
HCO2+,1E-030
HCS,1E-030
HCS+,1E-030
SIOH+,2.93784E-029
NH2CHO,1E-030
#NH2CHO,1E-030
HCOO,1E-030
#HCOO,1E-030
#H2CS,1E-030
#NO2,1E-030
#NS,1E-030
#H2SIO,1E-030
H2CS,1E-030
H2CS+,1E-030
H2SIO,1E-030
NO2,1E-030
NS,1E-030
NS+,1.56523E-027
HCOOH,1E-030
#HCOOH,1E-030
H3CS+,1E-030
HNS+,1E-030
#SO,1E-030
SO,1E-030
SO+,2.2863E-026
C4H,1E-030
HSO+,1E-030
#C4H,1E-030
C3N,1E-030
#HC3N,1E-030
HC3N,1E-030
C2N2+,1E-030
NCCN,1E-030
SIC2,1E-030
SIC2+,1E-030
#NCCN,1E-030
#SIC2,1E-030
#SIS,1E-030
#OCS,1E-030
OCS,1E-030
OCS+,1E-030
SIS,1E-030
SIS+,1E-030
HOCS+,1E-030
HSIS+,1E-030
C4N,1E-030
C4N+,1E-030
#C4N,1E-030
#SIC3,1E-030
SIC3+,1E-030
SIC3,1E-030
#SO2,1E-030
S2,1E-030
S2+,1E-030
SO2+,1E-030
SO2,1E-030
HS2,1E-030
HS2+,1E-030
HSO2+,1E-030
H2S2+,1E-030
H2S2,1E-030
#H2S2,1E-030
E-,0.000273596
